[0.000000] (-) TimerEvent: {}
[0.000881] (-) JobUnselected: {'identifier': 'arm_autopilot'}
[0.001367] (-) JobUnselected: {'identifier': 'arm_color_transport'}
[0.001703] (-) JobUnselected: {'identifier': 'arm_mediapipe'}
[0.002039] (-) JobUnselected: {'identifier': 'arm_moveit_demo'}
[0.002197] (-) JobUnselected: {'identifier': 'garbage_identify_yolov11'}
[0.002250] (-) JobUnselected: {'identifier': 'joy'}
[0.002291] (-) JobUnselected: {'identifier': 'ros2_orbslam'}
[0.002326] (-) JobUnselected: {'identifier': 'x3plus_moveit_config'}
[0.002360] (-) JobUnselected: {'identifier': 'yahboomcar_astra'}
[0.002392] (-) JobUnselected: {'identifier': 'yahboomcar_bringup'}
[0.002423] (-) JobUnselected: {'identifier': 'yahboomcar_ctrl'}
[0.002454] (-) JobUnselected: {'identifier': 'yahboomcar_description'}
[0.002485] (-) JobUnselected: {'identifier': 'yahboomcar_laser'}
[0.002514] (-) JobUnselected: {'identifier': 'yahboomcar_linefollw'}
[0.002543] (-) JobUnselected: {'identifier': 'yahboomcar_mediapipe'}
[0.002572] (-) JobUnselected: {'identifier': 'yahboomcar_msgs'}
[0.002602] (-) JobUnselected: {'identifier': 'yahboomcar_multi'}
[0.002631] (-) JobUnselected: {'identifier': 'yahboomcar_nav'}
[0.002660] (-) JobUnselected: {'identifier': 'yahboomcar_slam'}
[0.002691] (-) JobUnselected: {'identifier': 'yahboomcar_visual'}
[0.002720] (-) JobUnselected: {'identifier': 'yahboomcar_voice_ctrl'}
[0.002748] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.002776] (-) JobUnselected: {'identifier': 'ydlidar_sdk'}
[0.002805] (-) EventReactorShutdown: {}
