[0.000000] (-) TimerEvent: {}
[0.000773] (-) JobUnselected: {'identifier': 'arm_autopilot'}
[0.001118] (-) JobUnselected: {'identifier': 'arm_color_transport'}
[0.001227] (-) JobUnselected: {'identifier': 'arm_mediapipe'}
[0.001297] (-) JobUnselected: {'identifier': 'arm_moveit_demo'}
[0.001342] (-) JobUnselected: {'identifier': 'garbage_identify_yolov11'}
[0.001410] (-) JobUnselected: {'identifier': 'joy'}
[0.001555] (-) JobUnselected: {'identifier': 'ros2_orbslam'}
[0.001735] (-) JobUnselected: {'identifier': 'x3plus_moveit_config'}
[0.001931] (-) JobUnselected: {'identifier': 'yahboomcar_astra'}
[0.002020] (-) JobUnselected: {'identifier': 'yahboomcar_bringup'}
[0.002062] (-) JobUnselected: {'identifier': 'yahboomcar_ctrl'}
[0.002097] (-) JobUnselected: {'identifier': 'yahboomcar_description'}
[0.002128] (-) JobUnselected: {'identifier': 'yahboomcar_laser'}
[0.002159] (-) JobUnselected: {'identifier': 'yahboomcar_linefollw'}
[0.002189] (-) JobUnselected: {'identifier': 'yahboomcar_mediapipe'}
[0.002218] (-) JobUnselected: {'identifier': 'yahboomcar_msgs'}
[0.002248] (-) JobUnselected: {'identifier': 'yahboomcar_multi'}
[0.002277] (-) JobUnselected: {'identifier': 'yahboomcar_nav'}
[0.002306] (-) JobUnselected: {'identifier': 'yahboomcar_slam'}
[0.002337] (-) JobUnselected: {'identifier': 'yahboomcar_visual'}
[0.002366] (-) JobUnselected: {'identifier': 'yahboomcar_voice_ctrl'}
[0.002394] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.002423] (-) JobUnselected: {'identifier': 'ydlidar_sdk'}
[0.002454] (-) EventReactorShutdown: {}
