[0.000000] (-) TimerEvent: {}
[0.000637] (-) JobUnselected: {'identifier': 'arm_autopilot'}
[0.000929] (-) JobUnselected: {'identifier': 'arm_color_transport'}
[0.001025] (-) JobUnselected: {'identifier': 'arm_mediapipe'}
[0.001085] (-) JobUnselected: {'identifier': 'arm_moveit_demo'}
[0.001125] (-) JobUnselected: {'identifier': 'garbage_identify_yolov11'}
[0.001181] (-) JobUnselected: {'identifier': 'joy'}
[0.001305] (-) JobUnselected: {'identifier': 'x3plus_moveit_config'}
[0.001434] (-) JobUnselected: {'identifier': 'yahboomcar_astra'}
[0.001578] (-) JobUnselected: {'identifier': 'yahboomcar_bringup'}
[0.001643] (-) JobUnselected: {'identifier': 'yahboomcar_ctrl'}
[0.001676] (-) JobUnselected: {'identifier': 'yahboomcar_description'}
[0.001707] (-) JobUnselected: {'identifier': 'yahboomcar_laser'}
[0.001736] (-) JobUnselected: {'identifier': 'yahboomcar_linefollw'}
[0.001765] (-) JobUnselected: {'identifier': 'yahboomcar_mediapipe'}
[0.001793] (-) JobUnselected: {'identifier': 'yahboomcar_msgs'}
[0.001821] (-) JobUnselected: {'identifier': 'yahboomcar_multi'}
[0.001850] (-) JobUnselected: {'identifier': 'yahboomcar_nav'}
[0.001878] (-) JobUnselected: {'identifier': 'yahboomcar_slam'}
[0.001910] (-) JobUnselected: {'identifier': 'yahboomcar_visual'}
[0.001940] (-) JobUnselected: {'identifier': 'yahboomcar_voice_ctrl'}
[0.001969] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.001997] (-) JobUnselected: {'identifier': 'ydlidar_sdk'}
[0.002026] (-) EventReactorShutdown: {}
