[0.000000] (-) TimerEvent: {}
[0.000804] (-) JobUnselected: {'identifier': 'arm_autopilot'}
[0.001187] (-) JobUnselected: {'identifier': 'arm_color_transport'}
[0.001300] (-) JobUnselected: {'identifier': 'arm_mediapipe'}
[0.001369] (-) JobUnselected: {'identifier': 'arm_moveit_demo'}
[0.001415] (-) JobUnselected: {'identifier': 'garbage_identify_yolov11'}
[0.001482] (-) JobUnselected: {'identifier': 'joy'}
[0.001634] (-) JobUnselected: {'identifier': 'ros2_orbslam'}
[0.001784] (-) JobUnselected: {'identifier': 'x3plus_moveit_config'}
[0.001958] (-) JobUnselected: {'identifier': 'yahboomcar_astra'}
[0.002036] (-) JobUnselected: {'identifier': 'yahboomcar_bringup'}
[0.002071] (-) JobUnselected: {'identifier': 'yahboomcar_ctrl'}
[0.002102] (-) JobUnselected: {'identifier': 'yahboomcar_description'}
[0.002132] (-) JobUnselected: {'identifier': 'yahboomcar_laser'}
[0.002162] (-) JobUnselected: {'identifier': 'yahboomcar_linefollw'}
[0.002191] (-) JobUnselected: {'identifier': 'yahboomcar_mediapipe'}
[0.002221] (-) JobUnselected: {'identifier': 'yahboomcar_msgs'}
[0.002250] (-) JobUnselected: {'identifier': 'yahboomcar_multi'}
[0.002279] (-) JobUnselected: {'identifier': 'yahboomcar_nav'}
[0.002308] (-) JobUnselected: {'identifier': 'yahboomcar_slam'}
[0.002339] (-) JobUnselected: {'identifier': 'yahboomcar_slam'}
[0.002370] (-) JobUnselected: {'identifier': 'yahboomcar_visual'}
[0.002399] (-) JobUnselected: {'identifier': 'yahboomcar_voice_ctrl'}
[0.002428] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.002457] (-) JobUnselected: {'identifier': 'ydlidar_sdk'}
[0.002489] (-) EventReactorShutdown: {}
